car;gaari
garbage;kachra
bag;thaila
cat;billi
dog;kutta
house;ghar
book;kitaab
table;mez
chair;kursi
window;khidki
door;darwaza
water;pani
food;khaana
coffee;qaahwa
milk;doodh
bread;roti
apple;seb
banana;kela
bed;bistar
pillow;takiya
blanket;kambal
socks;moze
shoes;jutay
pants;shalwar
shirt;qamees
hat;topi
clock;ghari
time;waqt
day;din
night;raat
sun;sooraj
moon;chaand
star;sitara
sky;aasmaan
sea;samundar
lake;jheel
river;darya
forest;jungle
tree;darakht
flower;phool
bird;parinda
fish;machi
horse;ghora
cow;gaye
goat;bakhri
spoon;chamach

